uid	Rep	Year	Loc	Harvest	Yield	Brix	pH	TA
CML328	1	2009	OH	9/7/13		5.6	4.42	0.35
CML331	1	2009	CA	9/23/10	22986.55	5.05	4.35	0.38
CML332	1	2010	CA			4.38	4.4	0.27
CML333	2	2009	OH	9/14/13		5.8	4.16	0.36
CML341	2	2009	CA	10/2/10		6.09	4.39	0.3
CML38	2	2010	OH	9/28/14	129544.48	5.7	4.46	0.48
CML45	2	2010	CA			5.17	4.33	0.34
CML5	1	2009	OH	9/7/13		6.4	4.3	0.36
CML52	1	2009	CA	9/25/10	15803.25	5.45	4.41	0.37
CML61	1	2010	CA			6.44	4.51	0.3
CML69	2	2009	OH	9/16/13		7.7	4.03	0.61
CML77	2	2009	CA	9/16/10		7.22	4.49	0.31
CML91	2	2010	OH	9/23/14	75766.01	6.6	4.57	0.38
CML92	2	2010	CA			6.51	4.54	0.33
CMV3	1	2009	OH	9/7/13		5.3	4.19	0.36
CO106	1	2009	CA	9/20/10	13648.26	5.8	4.42	0.34
CO125	1	2010	CA			5.2	4.23	0.41
CO255	2	2009	OH	9/14/13		5.6	4.19	0.44
D940Y	2	2009	CA	10/9/10		5.9	4.22	0.4
DE2	2	2010	OH	9/28/14	66942.98	5.4	4.34	0.38
DE3	2	2010	CA			4.97	4.27	0.33
DE1	1	2009	OH	9/7/13		6.3	4.23	0.47
DE811	1	2009	CA	10/3/10	43099.78	5.45	4.32	0.37
E2558W	1	2010	CA			4.78	4.17	0.35
EP1	2	2009	OH	9/14/13		6.6	4.22	0.49
F2834T	2	2009	CA	10/5/10		5.28	4.37	0.37
F44	2	2010	OH	9/30/14	114419.28	6.3	4.34	0.42
F6	2	2010	CA			5.84	4.3	0.37
F7	1	2009	OH	9/10/13		7.4	4.33	0.41
GA209	1	2009	CA	9/16/10	43818.11	5.6	4.58	0.29
GT112	1	2010	CA			5.08	4.45	0.28
H105W	2	2009	OH	9/16/13		6.3	4.2	0.45
H49	2	2009	CA	9/16/10		6.01	4.56	0.29
H84	2	2010	OH	9/30/14	39913.7	7.4	4.49	0.46
H91	2	2010	CA			6.27	4.65	0.28
H95	1	2009	OH	9/10/13		5.1	4.37	0.47
H99	1	2009	CA	9/12/10	61058.02	4.95	4.5	0.24
HI27	1	2010	CA			3.82	4.34	0.3
HP301	2	2009	OH	9/16/13		5.3	4.24	0.44
HY	2	2009	CA	9/16/10		4.17	4.43	0.25
I137TN	2	2010	OH	9/16/14	71004.38	5.1	4.5	0.46
I205	2	2010	CA			4.01	4.51	0.25
I29	1	2009	OH	9/7/13		5.1	4.48	0.31
IA2132	1	2009	CA	9/14/10	63213	4.7	4.52	0.26
IA5125	1	2010	CA			4.13	4.54	0.24
IDS28	2	2009	OH	9/16/13		5.6	4.35	0.36
IDS69	2	2009	CA	9/16/10		5.82	4.57	0.27
IDS91	2	2010	OH	9/23/14	108957.41	5.5	4.44	0.41
IL101	2	2010	CA			5.59	4.51	0.25
IL14H	1	2009	OH	9/7/13		4.6	4.53	0.31
IL677A	1	2009	CA	9/16/10	46691.42	5.3	4.6	0.26
K148	1	2010	CA			3.64	4.54	0.19
K4	2	2009	OH	9/16/13		6	4.24	0.38
K55	2	2009	CA	9/12/10		4.56	4.67	0.24
K64	2	2010	OH	9/16/14	155173.27	3.9	4.4	0.31
KI11	2	2010	CA			4.44	4.7	0.2
KI14	1	2009	OH	9/7/13		5.3	4.31	0.42
KI2021	1	2009	CA	9/10/10	58903.03	5.05	4.47	0.33
KI21	1	2010	CA			5.05	4.41	0.32
KI3	2	2009	OH	9/14/13		6.8	4.24	0.51
KI43	2	2009	CA	9/12/10		4.23	4.35	0.27
KI44	2	2010	OH	9/28/14	97473.46	5.1	4.38	0.44
KY21	2	2010	CA			3.98	4.45	0.27
KY226	1	2009	OH	9/7/13		4.7	4.22	0.39
KY228	1	2009	CA	9/23/10	50283.07	4.65	4.44	0.31
L317	1	2010	CA			4.19	4.65	0.19
L578	2	2009	OH	9/16/13		6	4.36	0.39
M14	2	2009	CA	9/12/10		5.58	4.64	0.24
M162W	2	2010	OH	9/28/14	103215.44	4.8	4.55	0.34
M37W	2	2010	CA			3.82	4.56	0.21
MEF156-55-2	1	2009	OH	9/7/13		4.9	4.46	0.3
MO17	1	2009	CA	9/16/10	43818.11	5.45	4.69	0.25
MO18W	1	2010	CA			4.07	4.67	0.2
MO1W	2	2009	OH	9/14/13		5.3	4.66	0.3
MO24W	2	2009	CA	9/16/10		4.69	4.5	0.26
MO44	2	2010	OH	9/23/14	82068.18	5.8	4.7	0.32
MO45	2	2010	CA			4.56	4.84	0.2
MO46	1	2009	OH	9/10/13		6.1	4.46	0.39
MO47	1	2009	CA	9/14/10	52438.06	4.75	4.55	0.25
MOG	1	2010	CA			4.67	4.34	0.33
MP339	2	2009	OH	9/14/13		5.2	4.63	0.32
MS1334	2	2009	CA	9/16/10		4.48	4.71	0.21
MS153	2	2010	OH	9/23/14	83188.56	5.4	4.69	0.34
MS71	2	2010	CA			4.49	4.23	0.29
MT42	1	2009	OH	9/10/13		3.9	4.58	0.27
N192	1	2009	CA	9/12/10	67522.98	5.45	4.65	0.27
N28HT	1	2010	CA			4.86	4.57	0.24
N6	2	2009	OH	9/14/13		5.9	4.59	0.38
N7A	2	2009	CA	9/16/10		4.77	4.49	0.29
NC222	2	2010	OH	9/28/14	128003.95	5.6	4.83	0.34
NC230	2	2010	CA			4.33	4.69	0.2
NC232	1	2009	OH	9/7/13		5.2	4.31	0.47
NC236	1	2009	CA	9/12/10	28014.85	5.8	4.56	0.27
NC238	1	2010	CA			4.63	4.56	0.26
NC250	2	2009	OH	9/16/13		5.8	4.21	0.51
NC258	2	2009	CA	9/16/10		4.51	4.47	0.3
NC260	2	2010	OH	9/30/14	98313.75	5.1	4.5	0.41
NC262	2	2010	CA			4.15	4.65	0.22
NC264	1	2009	OH	9/7/13		5.7	4.27	0.5
NC290A	1	2009	CA	9/12/10	51719.73	5.45	4.48	0.37
NC294	1	2010	CA			4.75	4.43	0.32
NC296	2	2009	OH	9/16/13		6.9	4.24	0.55
NC296A	2	2009	CA	9/16/10		6.12	4.53	0.32
NC298	2	2010	OH	9/30/14	93832.21	5.9	4.58	0.4
NC300	2	2010	CA			5.41	4.84	0.31
NC302	1	2009	OH	9/7/13		5.1	4.24	0.39
NC304	1	2009	CA	9/16/10	52438.06	5.9	4.49	0.25
NC306	1	2010	CA			4.74	4.34	0.27
NC310	2	2009	OH	9/14/13		5.9	4.42	0.39
NC314	2	2009	CA	9/28/10		5.89	4.28	0.33
NC318	2	2010	OH	9/16/14	64562.17	5.7	4.45	0.38
NC320	2	2010	CA			5.03	4.4	0.28
NC324	1	2009	OH	9/7/13		5.8	4.36	0.41
NC326	1	2009	CA	9/14/10	30169.84	4.85	4.47	0.29
NC328	1	2010	CA			4.89	4.4	0.22
NC33	2	2009	OH	9/16/13		5.7	4.11	0.44
NC336	2	2009	CA	9/16/10		5.23	4.4	0.3
NC338	2	2010	OH	9/30/14	61481.11	8.4	4.33	0.46
NC340	2	2010	CA			5.52	4.53	0.26
NC342	1	2009	OH	9/7/13		5.1	4.21	0.38
NC344	1	2009	CA	9/14/10	69677.97	4.95	4.37	0.32
NC346	1	2010	CA			4.15	4.2	0.3
NC348	2	2009	OH	9/16/13		5.9	4.1	0.46
NC350	2	2009	CA	9/16/10		4.45	4.23	0.33
NC352	2	2010	OH	9/28/14	62881.59	6.5	4.4	0.42
NC354	2	2010	CA			5.04	4.43	0.26
NC356	1	2009	OH	9/7/13		4.5	4.23	0.34
NC358	1	2009	CA	9/16/10	53156.39	4.6	4.43	0.25
NC360	1	2010	CA			3.47	4.34	0.25
NC362	2	2009	OH	9/16/13		4.9	4.11	0.39
NC364	2	2009	CA	9/14/10		4.75	4.25	0.29
NC366	2	2010	OH	9/23/14	99854.28	5.3	4.25	0.47
NC368	2	2010	CA			3.85	4.5	0.21
ND246	1	2009	OH	9/7/13		5.6	4.24	0.44
OH40B	1	2009	CA	9/12/10	43818.11	5.55	4.64	0.3
OH43	1	2010	CA					
OH43E	2	2009	OH	9/14/13		5.9	4.33	0.51
OH603	2	2009	CA	9/14/10		4.75	4.57	0.24
OH7B	2	2010	OH	9/16/14	71284.47	5.8	4.46	0.42
OS420	2	2010	CA			5.43	4.56	0.27
P39	1	2009	OH	9/10/13		4.9	4.31	0.4
PA762	1	2009	CA	9/12/10	67522.98	5	4.47	0.31
PA875	1	2010	CA			4.6	4.12	0.39
PA880	2	2009	OH	9/14/13		5.5	4.28	0.49
PA91	2	2009	CA	9/14/10		4.76	4.31	0.33
R109B	2	2010	OH	9/28/14	80387.6	5.6	4.37	0.4
R168	2	2010	CA			4.82	4.48	0.28
R177	1	2009	OH	9/7/13		5.2	4.5	0.4
R229	1	2009	CA	9/12/10	45254.76	5.2	4.47	0.32
R4	1	2010	CA			4.63	4.42	0.28
SA24	2	2009	OH	9/16/13		5.9	4.16	0.46
SC213R	2	2009	CA					
SC357	2	2010	OH	9/30/14	86409.67	5.2	4.61	0.35
SC55	2	2010	CA			4.93	4.6	0.26
SD40	1	2009	OH	9/7/13		4.4	4.35	0.33
SD44	1	2009	CA	9/16/10	37353.14	4.7	4.45	0.39
SG1533	1	2010	CA			4.12	4.48	0.27
SG18	2	2009	OH	9/14/13		5.7	4.3	0.53
T232	2	2009	CA	9/14/10		5.04	4.6	0.28
