Line,Rep,Year,Loc,Harvest,Yield,Brix,pH,TA
SCT_0006,1,2009,CA,10/3/10,25141.54,5.75,4.5,0.33
SCT_0006,1,2010,CA,NA,NA,6.75,4.34,0.46
SCT_0006,2,2009,OH,9/16/13,NA,5.9,4.26,0.45
SCT_0006,2,2009,CA,10/9/10,NA,5.32,4.38,0.31
SCT_0006,2,2010,OH,9/28/14,94392.41,5.6,4.43,0.34
SCT_0006,2,2010,CA,NA,NA,6.44,4.33,0.33
SCT_0007,1,2009,OH,9/7/13,NA,6.3,4.4,0.37
SCT_0007,1,2009,CA,9/14/10,22986.55,6.75,4.6,0.3
SCT_0007,1,2010,CA,NA,NA,6.3,4.53,0.31
SCT_0007,2,2009,OH,9/16/13,NA,8,4.16,0.56
SCT_0007,2,2009,CA,9/12/10,NA,7.07,4.46,0.36
SCT_0007,2,2010,OH,9/23/14,43695,7.1,4.36,0.44
SCT_0007,2,2010,CA,NA,NA,5.82,4.61,0.25
SCT_0008,1,2009,OH,9/7/13,NA,5.7,4.24,0.44
SCT_0008,1,2009,CA,9/23/10,26578.2,6.1,4.25,0.51
SCT_0008,1,2010,CA,NA,NA,7.02,4.18,0.55
SCT_0008,2,2009,OH,9/16/13,NA,6.4,4.3,0.65
SCT_0008,2,2009,CA,10/3/10,NA,5.99,4.2,0.41
SCT_0008,2,2010,OH,9/28/14,76326.2,7.2,4.3,0.53
SCT_0008,2,2010,CA,NA,NA,4.83,4.45,0.26
SCT_0009,1,2009,OH,9/10/13,NA,6.4,4.19,0.41
SCT_0009,1,2009,CA,9/16/10,23704.88,6.45,4.43,0.38
SCT_0009,1,2010,CA,NA,NA,6.06,4.31,0.4
SCT_0009,2,2009,OH,9/14/13,NA,7.3,4.15,0.6
SCT_0009,2,2009,CA,9/16/10,NA,6.44,4.58,0.32
SCT_0009,2,2010,OH,9/16/14,64282.07,7.4,4.42,0.56
SCT_0009,2,2010,CA,NA,NA,6.04,4.47,0.32
SCT_0010,1,2009,OH,9/10/13,NA,6.8,4.32,0.41
SCT_0010,1,2009,CA,10/6/10,40944.79,6.3,4.36,0.39
SCT_0010,1,2010,CA,NA,NA,6.53,4.09,0.48
SCT_0010,2,2009,OH,9/14/13,NA,6.8,4.37,0.4
SCT_0010,2,2009,CA,10/9/10,NA,5.96,4.32,0.34
SCT_0010,2,2010,OH,9/28/14,103915.68,6.8,4.36,0.48
SCT_0010,2,2010,CA,NA,NA,5.8,4.52,0.23
SCT_0011,1,2009,OH,9/7/13,NA,6.2,4.46,0.37
SCT_0011,1,2009,CA,9/23/10,35198.15,5.4,4.39,0.34
SCT_0011,1,2010,CA,NA,NA,7.86,4.52,0.24
SCT_0011,2,2009,OH,9/14/13,NA,6.5,4.23,0.44
SCT_0011,2,2009,CA,10/5/10,NA,4.88,4.32,0.3
SCT_0011,2,2010,OH,9/28/14,110217.84,5.7,4.4,0.36
SCT_0011,2,2010,CA,NA,NA,5.43,4.34,0.31
SCT_0012,1,2009,OH,9/10/13,NA,6.5,4.26,0.39
SCT_0012,1,2009,CA,9/20/10,48846.41,6.2,4.41,0.35
SCT_0012,1,2010,CA,NA,NA,5.15,4.42,0.29
SCT_0012,2,2009,OH,9/14/13,NA,7.5,4.21,0.61
SCT_0012,2,2009,CA,9/16/10,NA,6.38,4.48,0.31
SCT_0012,2,2010,OH,9/28/14,102655.24,6,4.51,0.4
SCT_0012,2,2010,CA,NA,NA,6.17,4.5,0.31
SCT_0013,1,2009,OH,9/10/13,NA,6,4.51,0.33
SCT_0013,1,2009,CA,10/5/10,18676.57,6.4,4.51,0.34
SCT_0013,1,2010,CA,NA,NA,6.79,4.38,0.35
SCT_0013,2,2009,OH,9/16/13,NA,6.8,4.49,0.44
SCT_0013,2,2009,CA,9/20/10,NA,6.01,4.47,0.3
SCT_0013,2,2010,OH,9/30/14,89210.63,7.8,4.5,0.31
SCT_0013,2,2010,CA,NA,NA,6.11,4.47,0.3
SCT_0014,1,2009,OH,9/7/13,NA,5.6,4.42,0.35
SCT_0014,1,2009,CA,9/23/10,22986.55,5.05,4.35,0.38
SCT_0014,1,2010,CA,NA,NA,4.38,4.4,0.27
SCT_0014,2,2009,OH,9/14/13,NA,5.8,4.16,0.36
SCT_0014,2,2009,CA,10/2/10,NA,6.09,4.39,0.3
SCT_0014,2,2010,OH,9/28/14,129544.48,5.7,4.46,0.48
SCT_0014,2,2010,CA,NA,NA,5.17,4.33,0.34
SCT_0015,1,2009,OH,9/7/13,NA,6.4,4.3,0.36
SCT_0015,1,2009,CA,9/25/10,15803.25,5.45,4.41,0.37
SCT_0015,1,2010,CA,NA,NA,6.44,4.51,0.3
SCT_0015,2,2009,OH,9/16/13,NA,7.7,4.03,0.61
SCT_0015,2,2009,CA,9/16/10,NA,7.22,4.49,0.31
SCT_0015,2,2010,OH,9/23/14,75766.01,6.6,4.57,0.38
SCT_0015,2,2010,CA,NA,NA,6.51,4.54,0.33
SCT_0016,1,2009,OH,9/7/13,NA,5.3,4.19,0.36
SCT_0016,1,2009,CA,9/20/10,13648.26,5.8,4.42,0.34
SCT_0016,1,2010,CA,NA,NA,5.2,4.23,0.41
SCT_0016,2,2009,OH,9/14/13,NA,5.6,4.19,0.44
SCT_0016,2,2009,CA,10/9/10,NA,5.9,4.22,0.4
SCT_0016,2,2010,OH,9/28/14,66942.98,5.4,4.34,0.38
SCT_0016,2,2010,CA,NA,NA,4.97,4.27,0.33
SCT_0017,1,2009,OH,9/7/13,NA,6.3,4.23,0.47
SCT_0017,1,2009,CA,10/3/10,43099.78,5.45,4.32,0.37
SCT_0017,1,2010,CA,NA,NA,4.78,4.17,0.35
SCT_0017,2,2009,OH,9/14/13,NA,6.6,4.22,0.49
SCT_0017,2,2009,CA,10/5/10,NA,5.28,4.37,0.37
SCT_0017,2,2010,OH,9/30/14,114419.28,6.3,4.34,0.42
SCT_0017,2,2010,CA,NA,NA,5.84,4.3,0.37
SCT_0018,1,2009,OH,9/10/13,NA,7.4,4.33,0.41
SCT_0018,1,2009,CA,9/16/10,43818.11,5.6,4.58,0.29
SCT_0018,1,2010,CA,NA,NA,5.08,4.45,0.28
SCT_0018,2,2009,OH,9/16/13,NA,6.3,4.2,0.45
SCT_0018,2,2009,CA,9/16/10,NA,6.01,4.56,0.29
SCT_0018,2,2010,OH,9/30/14,39913.7,7.4,4.49,0.46
SCT_0018,2,2010,CA,NA,NA,6.27,4.65,0.28
SCT_0019,1,2009,OH,9/10/13,NA,5.1,4.37,0.47
SCT_0019,1,2009,CA,9/12/10,61058.02,4.95,4.5,0.24
SCT_0019,1,2010,CA,NA,NA,3.82,4.34,0.3
SCT_0019,2,2009,OH,9/16/13,NA,5.3,4.24,0.44
SCT_0019,2,2009,CA,9/16/10,NA,4.17,4.43,0.25
SCT_0019,2,2010,OH,9/16/14,71004.38,5.1,4.5,0.46
SCT_0019,2,2010,CA,NA,NA,4.01,4.51,0.25
SCT_0020,1,2009,OH,9/7/13,NA,5.1,4.48,0.31
SCT_0020,1,2009,CA,9/14/10,63213,4.7,4.52,0.26
SCT_0020,1,2010,CA,NA,NA,4.13,4.54,0.24
SCT_0020,2,2009,OH,9/16/13,NA,5.6,4.35,0.36
SCT_0020,2,2009,CA,9/16/10,NA,5.82,4.57,0.27
SCT_0020,2,2010,OH,9/23/14,108957.41,5.5,4.44,0.41
SCT_0020,2,2010,CA,NA,NA,5.59,4.51,0.25
SCT_0021,1,2009,OH,9/7/13,NA,4.6,4.53,0.31
SCT_0021,1,2009,CA,9/16/10,46691.42,5.3,4.6,0.26
SCT_0021,1,2010,CA,NA,NA,3.64,4.54,0.19
SCT_0021,2,2009,OH,9/16/13,NA,6,4.24,0.38
SCT_0021,2,2009,CA,9/12/10,NA,4.56,4.67,0.24
SCT_0021,2,2010,OH,9/16/14,155173.27,3.9,4.4,0.31
SCT_0021,2,2010,CA,NA,NA,4.44,4.7,0.2
SCT_0022,1,2009,OH,9/7/13,NA,5.3,4.31,0.42
SCT_0022,1,2009,CA,9/10/10,58903.03,5.05,4.47,0.33
SCT_0022,1,2010,CA,NA,NA,5.05,4.41,0.32
SCT_0022,2,2009,OH,9/14/13,NA,6.8,4.24,0.51
SCT_0022,2,2009,CA,9/12/10,NA,4.23,4.35,0.27
SCT_0022,2,2010,OH,9/28/14,97473.46,5.1,4.38,0.44
SCT_0022,2,2010,CA,NA,NA,3.98,4.45,0.27
SCT_0023,1,2009,OH,9/7/13,NA,4.7,4.22,0.39
SCT_0023,1,2009,CA,9/23/10,50283.07,4.65,4.44,0.31
SCT_0023,1,2010,CA,NA,NA,4.19,4.65,0.19
SCT_0023,2,2009,OH,9/16/13,NA,6,4.36,0.39
SCT_0023,2,2009,CA,9/12/10,NA,5.58,4.64,0.24
SCT_0023,2,2010,OH,9/28/14,103215.44,4.8,4.55,0.34
SCT_0023,2,2010,CA,NA,NA,3.82,4.56,0.21
SCT_0024,1,2009,OH,9/7/13,NA,4.9,4.46,0.3
SCT_0024,1,2009,CA,9/16/10,43818.11,5.45,4.69,0.25
SCT_0024,1,2010,CA,NA,NA,4.07,4.67,0.2
SCT_0024,2,2009,OH,9/14/13,NA,5.3,4.66,0.3
SCT_0024,2,2009,CA,9/16/10,NA,4.69,4.5,0.26
SCT_0024,2,2010,OH,9/23/14,82068.18,5.8,4.7,0.32
SCT_0024,2,2010,CA,NA,NA,4.56,4.84,0.2
SCT_0025,1,2009,OH,9/10/13,NA,6.1,4.46,0.39
SCT_0025,1,2009,CA,9/14/10,52438.06,4.75,4.55,0.25
SCT_0025,1,2010,CA,NA,NA,4.67,4.34,0.33
SCT_0025,2,2009,OH,9/14/13,NA,5.2,4.63,0.32
SCT_0025,2,2009,CA,9/16/10,NA,4.48,4.71,0.21
SCT_0025,2,2010,OH,9/23/14,83188.56,5.4,4.69,0.34
SCT_0025,2,2010,CA,NA,NA,4.49,4.23,0.29
SCT_0026,1,2009,OH,9/10/13,NA,3.9,4.58,0.27
SCT_0026,1,2009,CA,9/12/10,67522.98,5.45,4.65,0.27
SCT_0026,1,2010,CA,NA,NA,4.86,4.57,0.24
SCT_0026,2,2009,OH,9/14/13,NA,5.9,4.59,0.38
SCT_0026,2,2009,CA,9/16/10,NA,4.77,4.49,0.29
SCT_0026,2,2010,OH,9/28/14,128003.95,5.6,4.83,0.34
SCT_0026,2,2010,CA,NA,NA,4.33,4.69,0.2
SCT_0027,1,2009,OH,9/7/13,NA,5.2,4.31,0.47
SCT_0027,1,2009,CA,9/12/10,28014.85,5.8,4.56,0.27
SCT_0027,1,2010,CA,NA,NA,4.63,4.56,0.26
SCT_0027,2,2009,OH,9/16/13,NA,5.8,4.21,0.51
SCT_0027,2,2009,CA,9/16/10,NA,4.51,4.47,0.3
SCT_0027,2,2010,OH,9/30/14,98313.75,5.1,4.5,0.41
SCT_0027,2,2010,CA,NA,NA,4.15,4.65,0.22
SCT_0028,1,2009,OH,9/7/13,NA,5.7,4.27,0.5
SCT_0028,1,2009,CA,9/12/10,51719.73,5.45,4.48,0.37
SCT_0028,1,2010,CA,NA,NA,4.75,4.43,0.32
SCT_0028,2,2009,OH,9/16/13,NA,6.9,4.24,0.55
SCT_0028,2,2009,CA,9/16/10,NA,6.12,4.53,0.32
SCT_0028,2,2010,OH,9/30/14,93832.21,5.9,4.58,0.4
SCT_0028,2,2010,CA,NA,NA,5.41,4.84,0.31
SCT_0029,1,2009,OH,9/7/13,NA,5.1,4.24,0.39
SCT_0029,1,2009,CA,9/16/10,52438.06,5.9,4.49,0.25
SCT_0029,1,2010,CA,NA,NA,4.74,4.34,0.27
SCT_0029,2,2009,OH,9/14/13,NA,5.9,4.42,0.39
SCT_0029,2,2009,CA,9/28/10,NA,5.89,4.28,0.33
SCT_0029,2,2010,OH,9/16/14,64562.17,5.7,4.45,0.38
SCT_0029,2,2010,CA,NA,NA,5.03,4.4,0.28
SCT_0030,1,2009,OH,9/7/13,NA,5.8,4.36,0.41
SCT_0030,1,2009,CA,9/14/10,30169.84,4.85,4.47,0.29
SCT_0030,1,2010,CA,NA,NA,4.89,4.4,0.22
SCT_0030,2,2009,OH,9/16/13,NA,5.7,4.11,0.44
SCT_0030,2,2009,CA,9/16/10,NA,5.23,4.4,0.3
SCT_0030,2,2010,OH,9/30/14,61481.11,8.4,4.33,0.46
SCT_0030,2,2010,CA,NA,NA,5.52,4.53,0.26
SCT_0031,1,2009,OH,9/7/13,NA,5.1,4.21,0.38
SCT_0031,1,2009,CA,9/14/10,69677.97,4.95,4.37,0.32
SCT_0031,1,2010,CA,NA,NA,4.15,4.2,0.3
SCT_0031,2,2009,OH,9/16/13,NA,5.9,4.1,0.46
SCT_0031,2,2009,CA,9/16/10,NA,4.45,4.23,0.33
SCT_0031,2,2010,OH,9/28/14,62881.59,6.5,4.4,0.42
SCT_0031,2,2010,CA,NA,NA,5.04,4.43,0.26
SCT_0032,1,2009,OH,9/7/13,NA,4.5,4.23,0.34
SCT_0032,1,2009,CA,9/16/10,53156.39,4.6,4.43,0.25
SCT_0032,1,2010,CA,NA,NA,3.47,4.34,0.25
SCT_0032,2,2009,OH,9/16/13,NA,4.9,4.11,0.39
SCT_0032,2,2009,CA,9/14/10,NA,4.75,4.25,0.29
SCT_0032,2,2010,OH,9/23/14,99854.28,5.3,4.25,0.47
SCT_0032,2,2010,CA,NA,NA,3.85,4.5,0.21
SCT_0033,1,2009,OH,9/7/13,NA,5.6,4.24,0.44
SCT_0033,1,2009,CA,9/12/10,43818.11,5.55,4.64,0.3
SCT_0033,1,2010,CA,NA,NA,NA,NA,NA
SCT_0033,2,2009,OH,9/14/13,NA,5.9,4.33,0.51
SCT_0033,2,2009,CA,9/14/10,NA,4.75,4.57,0.24
SCT_0033,2,2010,OH,9/16/14,71284.47,5.8,4.46,0.42
SCT_0033,2,2010,CA,NA,NA,5.43,4.56,0.27
SCT_0034,1,2009,OH,9/10/13,NA,4.9,4.31,0.4
SCT_0034,1,2009,CA,9/12/10,67522.98,5,4.47,0.31
SCT_0034,1,2010,CA,NA,NA,4.6,4.12,0.39
SCT_0034,2,2009,OH,9/14/13,NA,5.5,4.28,0.49
SCT_0034,2,2009,CA,9/14/10,NA,4.76,4.31,0.33
SCT_0034,2,2010,OH,9/28/14,80387.6,5.6,4.37,0.4
SCT_0034,2,2010,CA,NA,NA,4.82,4.48,0.28
SCT_0035,1,2009,OH,9/7/13,NA,5.2,4.5,0.4
SCT_0035,1,2009,CA,9/12/10,45254.76,5.2,4.47,0.32
SCT_0035,1,2010,CA,NA,NA,4.63,4.42,0.28
SCT_0035,2,2009,OH,9/16/13,NA,5.9,4.16,0.46
SCT_0035,2,2009,CA,NA,NA,NA,NA,NA
SCT_0035,2,2010,OH,9/30/14,86409.67,5.2,4.61,0.35
SCT_0035,2,2010,CA,NA,NA,4.93,4.6,0.26
SCT_0036,1,2009,OH,9/7/13,NA,4.4,4.35,0.33
SCT_0036,1,2009,CA,9/16/10,37353.14,4.7,4.45,0.39
SCT_0036,1,2010,CA,NA,NA,4.12,4.48,0.27
SCT_0036,2,2009,OH,9/14/13,NA,5.7,4.3,0.53
SCT_0036,2,2009,CA,9/14/10,NA,5.04,4.6,0.28
SCT_0036,2,2010,OH,9/30/14,91731.49,6.7,4.34,0.43
SCT_0036,2,2010,CA,NA,NA,4.81,4.44,0.31
SCT_0037,1,2009,OH,9/7/13,NA,4.7,4.32,0.39
SCT_0037,1,2009,CA,9/16/10,53874.72,4.45,4.37,0.31
SCT_0037,1,2010,CA,NA,NA,4.45,4.35,0.26
SCT_0037,2,2009,OH,9/16/13,NA,5.4,4.24,0.46
SCT_0037,2,2009,CA,9/14/10,NA,4.47,4.46,0.27
SCT_0037,2,2010,OH,9/23/14,108117.12,5.5,4.54,0.4
SCT_0037,2,2010,CA,NA,NA,4.6,4.26,0.27
SCT_0038,1,2009,OH,9/10/13,NA,5.3,4.38,0.42
SCT_0038,1,2009,CA,9/16/10,73987.95,4.4,4.38,0.32
SCT_0038,1,2010,CA,NA,NA,3.63,4.45,0.27
SCT_0038,2,2009,OH,9/16/13,NA,5,4.18,0.39
SCT_0038,2,2009,CA,9/16/10,NA,4.56,4.23,0.39
SCT_0038,2,2010,OH,9/28/14,80527.65,5.7,4.55,0.42
SCT_0038,2,2010,CA,NA,NA,3.86,4.46,0.28
SCT_0039,1,2009,OH,9/7/13,NA,5.1,4.14,0.47
SCT_0039,1,2009,CA,9/14/10,64649.66,4.8,4.36,0.35
SCT_0039,1,2010,CA,NA,NA,3.65,4.31,0.34
SCT_0039,2,2009,OH,9/14/13,NA,5.3,4.2,0.46
SCT_0039,2,2009,CA,9/16/10,NA,4.35,4.38,0.3
SCT_0039,2,2010,OH,9/16/14,69323.8,4.6,4.38,0.42
SCT_0039,2,2010,CA,NA,NA,3.63,4.45,0.28
SCT_0040,1,2009,OH,9/7/13,NA,6,4.35,0.36
SCT_0040,1,2009,CA,9/16/10,66086.32,5.5,4.49,0.33
SCT_0040,1,2010,CA,NA,NA,5.3,4.42,0.34
SCT_0040,2,2009,OH,9/16/13,NA,6.6,4.28,0.47
SCT_0040,2,2009,CA,10/2/10,NA,5.13,4.36,0.33
SCT_0040,2,2010,OH,9/28/14,89910.87,6.4,4.47,0.44
SCT_0040,2,2010,CA,NA,NA,4.43,4.41,0.28
SCT_0041,1,2009,OH,9/10/13,NA,5.5,4.37,0.42
SCT_0041,1,2009,CA,9/14/10,66086.32,4.7,4.47,0.29
SCT_0041,1,2010,CA,NA,NA,4.34,4.42,0.3
SCT_0041,2,2009,OH,9/14/13,NA,5.3,4.22,0.46
SCT_0041,2,2009,CA,9/14/10,NA,4.76,4.52,0.24
SCT_0041,2,2010,OH,9/23/14,109377.55,5.6,4.61,0.35
SCT_0041,2,2010,CA,NA,NA,4.14,4.56,0.28
SCT_0042,1,2009,OH,9/7/13,NA,4.7,4.41,0.37
SCT_0042,1,2009,CA,9/14/10,49564.74,4.7,4.36,0.36
SCT_0042,1,2010,CA,NA,NA,3.96,4.58,0.22
SCT_0042,2,2009,OH,9/14/13,NA,5.6,4.36,0.46
SCT_0042,2,2009,CA,9/16/10,NA,5.45,4.46,0.31
SCT_0042,2,2010,OH,9/28/14,111198.18,5.7,4.46,0.38
SCT_0042,2,2010,CA,NA,NA,5.83,4.15,0.48
SCT_0043,1,2009,OH,9/10/13,NA,6.6,4.54,0.43
SCT_0043,1,2009,CA,9/16/10,12929.93,6.25,4.7,0.32
SCT_0043,1,2010,CA,NA,NA,5.03,4.61,0.28
SCT_0043,2,2009,OH,9/16/13,NA,7.5,4.27,0.55
SCT_0043,2,2009,CA,9/22/10,NA,6.13,4.38,0.43
SCT_0043,2,2010,OH,9/30/14,57839.86,6.5,4.43,0.43
SCT_0043,2,2010,CA,NA,NA,4.9,4.64,0.25
SCT_0044,1,2009,OH,9/7/13,NA,4.7,4.1,0.51
SCT_0044,1,2009,CA,9/12/10,35916.48,5.45,4.39,0.38
SCT_0044,1,2010,CA,NA,NA,4.23,4.43,0.29
SCT_0044,2,2009,OH,9/14/13,NA,5.6,4.14,0.5
SCT_0044,2,2009,CA,9/16/10,NA,4.89,4.37,0.34
SCT_0044,2,2010,OH,9/16/14,92571.78,4.7,4.31,0.38
SCT_0044,2,2010,CA,NA,NA,NA,4.38,0.31
SCT_0045,1,2009,OH,9/10/13,NA,5.4,4.29,0.45
SCT_0045,1,2009,CA,9/12/10,68959.64,5.3,4.42,0.32
SCT_0045,1,2010,CA,NA,NA,NA,NA,NA
SCT_0045,2,2009,OH,9/16/13,NA,6.6,4.17,0.53
SCT_0045,2,2009,CA,9/16/10,NA,5.25,4.4,0.33
SCT_0045,2,2010,OH,9/28/14,123662.46,5.6,4.54,0.37
SCT_0045,2,2010,CA,NA,NA,4.28,4.48,0.32
SCT_0046,1,2009,OH,9/7/13,NA,7,4.12,0.62
SCT_0046,1,2009,CA,9/16/10,80452.91,5.35,4.42,0.28
SCT_0046,1,2010,CA,NA,NA,4.91,4.39,0.33
SCT_0046,2,2009,OH,9/16/13,NA,6.4,4.19,0.55
SCT_0046,2,2009,CA,9/16/10,NA,4.91,4.39,0.31
SCT_0046,2,2010,OH,9/23/14,101534.86,6,4.32,0.51
SCT_0046,2,2010,CA,NA,NA,4.72,4.44,0.29
SCT_0047,1,2009,OH,9/7/13,NA,4.8,4.2,0.44
SCT_0047,1,2009,CA,9/14/10,35198.15,5.15,4.48,0.31
SCT_0047,1,2010,CA,NA,NA,3.96,4.55,0.22
SCT_0047,2,2009,OH,9/14/13,NA,5.7,4.05,0.49
SCT_0047,2,2009,CA,9/16/10,NA,4.78,4.42,0.33
SCT_0047,2,2010,OH,9/16/14,67783.27,5.8,4.43,0.46
SCT_0047,2,2010,CA,NA,NA,4.19,4.43,0.31
SCT_0048,1,2009,OH,9/7/13,NA,5.9,4.16,0.54
SCT_0048,1,2009,CA,9/14/10,44536.44,5.85,4.36,0.42
SCT_0048,1,2010,CA,NA,NA,4.13,4.4,0.29
SCT_0048,2,2009,OH,9/16/13,NA,5.8,4.13,0.56
SCT_0048,2,2009,CA,9/16/10,NA,5.36,4.23,0.39
SCT_0048,2,2010,OH,9/30/14,93412.07,5.4,4.43,0.39
SCT_0048,2,2010,CA,NA,NA,4.62,4.57,0.23
SCT_0049,1,2009,OH,9/7/13,NA,4.9,4.29,0.43
SCT_0049,1,2009,CA,9/14/10,36634.81,5.3,4.42,0.33
SCT_0049,1,2010,CA,NA,NA,5.39,4.29,0.37
SCT_0049,2,2009,OH,9/14/13,NA,5.5,4.39,0.44
SCT_0049,2,2009,CA,9/14/10,NA,5.05,4.45,0.32
SCT_0049,2,2010,OH,9/30/14,129824.57,5,4.4,0.41
SCT_0049,2,2010,CA,NA,NA,4.17,4.48,0.25
SCT_0050,1,2009,OH,9/7/13,NA,4,4.14,0.45
SCT_0050,1,2009,CA,9/16/10,50283.07,4.7,4.39,0.32
SCT_0050,1,2010,CA,NA,NA,3.74,4.43,0.26
SCT_0050,2,2009,OH,9/16/13,NA,5.8,4.17,0.54
SCT_0050,2,2009,CA,9/12/10,NA,4.5,4.49,0.32
SCT_0050,2,2010,OH,9/30/14,86689.76,4.6,4.45,0.39
SCT_0050,2,2010,CA,NA,NA,3.99,4.49,0.29
SCT_0051,1,2009,OH,9/10/13,NA,5.3,4.26,0.44
SCT_0051,1,2009,CA,9/14/10,73987.95,5,4.37,0.32
SCT_0051,1,2010,CA,NA,NA,4.71,4.35,0.31
SCT_0051,2,2009,OH,9/16/13,NA,5.6,4.2,0.48
SCT_0051,2,2009,CA,9/14/10,NA,5.29,4.31,0.36
SCT_0051,2,2010,OH,9/23/14,140608.27,5.2,4.38,0.4
SCT_0051,2,2010,CA,NA,NA,4.64,4.45,0.3
SCT_0052,1,2009,OH,9/10/13,NA,5.3,4.27,0.53
SCT_0052,1,2009,CA,9/16/10,51719.73,5.5,4.28,0.37
SCT_0052,1,2010,CA,NA,NA,4.26,4.3,0.35
SCT_0052,2,2009,OH,9/16/13,NA,5.7,4.27,0.4
SCT_0052,2,2009,CA,9/22/10,NA,5.18,4.14,0.36
SCT_0052,2,2010,OH,9/30/14,113018.8,4.4,4.5,0.33
SCT_0052,2,2010,CA,NA,NA,4.81,4.21,0.35
SCT_0053,1,2009,OH,9/7/13,NA,5.4,4.17,0.52
SCT_0053,1,2009,CA,9/12/10,71832.96,4.7,4.5,0.3
SCT_0053,1,2010,CA,NA,NA,4,4.46,0.27
SCT_0053,2,2009,OH,9/16/13,NA,6.1,4.16,0.54
SCT_0053,2,2009,CA,9/16/10,NA,5.6,4.28,0.4
SCT_0053,2,2010,OH,9/16/14,108817.36,4.1,4.37,0.38
SCT_0053,2,2010,CA,NA,NA,4.18,4.39,0.3
SCT_0054,1,2009,OH,9/7/13,NA,5.4,4.28,0.36
SCT_0054,1,2009,CA,9/16/10,26578.2,5.4,4.35,0.36
SCT_0054,1,2010,CA,NA,NA,4.6,4.42,0.26
SCT_0054,2,2009,OH,9/16/13,NA,5.5,4.22,0.42
SCT_0054,2,2009,CA,9/10/10,NA,4.66,4.58,0.24
SCT_0054,2,2010,OH,9/28/14,92291.69,5.1,4.62,0.34
SCT_0054,2,2010,CA,NA,NA,5.18,4.61,0.23
SCT_0055,1,2009,OH,9/7/13,NA,5.1,4.24,0.43
SCT_0055,1,2009,CA,9/12/10,54593.05,4.75,4.53,0.27
SCT_0055,1,2010,CA,NA,NA,4.43,4.49,0.29
SCT_0055,2,2009,OH,9/14/13,NA,5.8,4.37,0.47
SCT_0055,2,2009,CA,9/16/10,NA,4.76,4.35,0.38
SCT_0055,2,2010,OH,9/30/14,81507.98,5.6,4.42,0.43
SCT_0055,2,2010,CA,NA,NA,4.97,4.36,0.36
SCT_0056,1,2009,OH,9/10/13,NA,5.8,4.2,0.49
SCT_0056,1,2009,CA,9/16/10,33043.16,4.95,4.31,0.38
SCT_0056,1,2010,CA,NA,NA,4.9,4.61,0.26
SCT_0056,2,2009,OH,9/16/13,NA,6.4,4.13,0.62
SCT_0056,2,2009,CA,9/25/10,NA,5,4.33,0.38
SCT_0056,2,2010,OH,9/28/14,127723.85,5.1,4.33,0.44
SCT_0056,2,2010,CA,NA,NA,5.56,4.72,0.23
